"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.453232976E1,8.554992676E-1,1.636932373E0,9.023849487E0
3.463261052E1,1.068572998E0,1.459762573E0,1.034306335E1
3.473286077E1,1.284057617E0,1.522018433E0,9.667892456E0
3.483304998E1,1.025482178E0,1.296951294E0,9.758880615E0
3.493330022E1,7.573242188E-1,7.486877441E-1,9.100463867E0
3.503355047E1,1.178710938E0,5.116577148E-1,9.825912476E0
3.513377019E1,7.549438477E-1,6.146087646E-1,9.349472046E0
3.523402044E1,1.595306396E0,1.605224609E-2,1.008448792E1
3.533427068E1,9.416809082E-1,-2.224731445E-2,8.992736816E0
3.543449041E1,1.363067627E0,-1.132354736E-1,9.725357056E0
3.553474065E1,1.092514038E0,-4.220733643E-1,9.457199097E0
3.563496038E1,9.512634277E-1,-2.066040039E-1,9.165115356E0
3.573521062E1,1.044631958E0,7.351684570E-2,9.969558716E0
3.583543035E1,8.722534180E-1,1.549224854E-1,9.404525757E0
3.593568059E1,1.152374268E0,5.882720947E-1,9.507476807E0
3.603593084E1,8.890075684E-1,8.923339844E-1,9.308761597E0
3.613615056E1,8.267669678E-1,1.332870483E0,9.904922485E0
3.623640081E1,1.049423218E0,1.459762573E0,9.775634766E0
3.633665105E1,8.698577881E-1,1.723129272E0,9.459594727E0
3.643687078E1,8.578948975E-1,1.651290894E0,9.789993286E0
3.653712102E1,1.073364258E0,1.816497803E0,9.260879517E0
3.663734075E1,3.311614990E-1,1.478912354E0,9.857040405E0
3.673759099E1,1.262512207E0,1.292175293E0,1.000787354E1
3.683781072E1,1.779647827E0,1.191604614E0,8.904144287E0
3.693806096E1,9.752044678E-1,1.591445923E0,9.974349976E0
3.703834172E1,9.584503174E-1,1.126968384E0,9.421295166E0
3.713856145E1,1.485168457E0,1.150909424E0,9.210601807E0
3.723878118E1,9.033813477E-1,1.419067383E0,9.531433105E0
3.733903142E1,1.798812866E0,1.459762573E0,9.442840576E0
3.743925115E1,1.281661987E0,1.294555664E0,9.519454956E0
3.753950139E1,1.166732788E0,1.663269043E0,9.900131226E0
3.763975164E1,9.321136475E-1,1.505249023E0,9.438049316E0
3.774000188E1,1.382217407E0,1.071899414E0,9.696624756E0
3.784025212E1,8.387298584E-1,1.292175293E0,9.682266235E0
3.794050237E1,1.408554077E0,6.888275146E-1,1.014434814E1
3.804072210E1,1.195465088E0,7.175598145E-1,8.997512817E0
3.814097234E1,1.243347168E0,1.239501953E0,9.179473877E0
3.824119207E1,1.228988647E0,9.593811035E-1,9.641555786E0
3.834144231E1,1.731765747E0,6.672821045E-1,9.608047485E0
3.844169256E1,1.049423218E0,6.720733643E-1,9.593673706E0
3.854191228E1,1.415740967E0,8.659973145E-1,9.143569946E0
3.864216253E1,1.102096558E0,9.785308838E-1,9.737319946E0
3.874238225E1,1.284057617E0,6.433410645E-1,9.476364136E0
3.884263250E1,1.463623047E0,7.175598145E-1,9.739715576E0
3.894288274E1,1.102096558E0,1.268218994E0,9.517059326E0
3.904310247E1,1.157165527E0,8.324737549E-1,8.901748657E0
3.914335271E1,1.288848877E0,6.170043945E-1,9.009490967E0
3.924360296E1,1.456436157E0,5.499725342E-1,9.423690796E0
3.934382268E1,1.142791748E0,6.768646240E-1,9.900131226E0
3.944407293E1,1.588119507E0,3.608245850E-1,9.620010376E0
3.954429265E1,1.647979736E0,8.372650146E-1,9.155532837E0
3.964454290E1,1.700653076E0,8.947296143E-1,9.816329956E0
