"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.268177434E1,4.861602783E1,-1.696624756E1,-1.437377930E0
3.278251287E1,4.921569824E1,-1.731567383E1,-8.377075195E-1
3.288322088E1,4.951477051E1,-1.817626953E1,6.622314453E-1
3.298392888E1,4.921569824E1,-1.800689697E1,9.628295898E-1
3.308463689E1,4.891510010E1,-1.783599854E1,1.261901855E0
3.318677922E1,4.981536865E1,-1.852569580E1,6.256103516E-2
3.328702947E1,4.951477051E1,-1.904602051E1,1.562500000E0
3.338724920E1,4.891510010E1,-1.765594482E1,3.631591797E-1
3.348749944E1,4.981536865E1,-1.765594482E1,-2.037048340E0
3.358817693E1,4.741516113E1,-1.592559814E1,-1.437377930E0
3.368888494E1,5.011596680E1,-1.644592285E1,2.462768555E0
3.378959295E1,4.951477051E1,-1.679687500E1,-1.136779785E0
3.389030095E1,5.041503906E1,-1.731567383E1,-2.380371094E-1
3.399100896E1,5.131530762E1,-1.679687500E1,-1.737976074E0
3.409171697E1,5.071563721E1,-1.817626953E1,1.261901855E0
3.419419500E1,5.071563721E1,-1.887664795E1,1.261901855E0
3.429444524E1,5.041503906E1,-1.904602051E1,-8.377075195E-1
3.439466497E1,5.011596680E1,-1.904602051E1,-1.437377930E0
3.449491521E1,5.041503906E1,-1.887664795E1,-5.371093750E-1
3.459525701E1,4.981536865E1,-1.852569580E1,6.256103516E-2
3.469593450E1,4.861602783E1,-1.852569580E1,-1.737976074E0
3.479667302E1,4.921569824E1,-1.817626953E1,-5.371093750E-1
3.489738103E1,4.831542969E1,-1.852569580E1,6.256103516E-2
3.499808904E1,5.011596680E1,-1.904602051E1,9.628295898E-1
3.509879705E1,4.951477051E1,-1.904602051E1,9.628295898E-1
3.519953557E1,4.801483154E1,-1.817626953E1,6.256103516E-2
3.530183050E1,4.921569824E1,-1.869659424E1,9.628295898E-1
3.540205022E1,4.861602783E1,-1.783599854E1,1.261901855E0
3.550230047E1,4.861602783E1,-1.869659424E1,9.628295898E-1
3.560252019E1,4.771575928E1,-1.869659424E1,-2.380371094E-1
3.570304509E1,4.891510010E1,-1.835632324E1,-2.380371094E-1
3.580375310E1,4.801483154E1,-1.817626953E1,1.261901855E0
3.590446111E1,4.921569824E1,-1.938629150E1,1.562500000E0
3.600516912E1,4.831542969E1,-1.852569580E1,-5.371093750E-1
3.610587712E1,4.801483154E1,-1.989593506E1,1.261901855E0
3.620658513E1,4.771575928E1,-1.800689697E1,-2.037048340E0
3.630729314E1,4.741516113E1,-1.921691895E1,6.256103516E-2
3.640946599E1,4.831542969E1,-2.007598877E1,2.761840820E0
3.650971624E1,4.771575928E1,-1.904602051E1,9.628295898E-1
3.660993596E1,4.801483154E1,-1.783599854E1,-2.337646484E0
3.671015569E1,4.561614990E1,-1.835632324E1,-2.380371094E-1
3.681083318E1,4.681549072E1,-1.904602051E1,-1.437377930E0
3.691154119E1,4.531555176E1,-1.835632324E1,-2.638244629E0
3.701221868E1,4.591522217E1,-1.921691895E1,-2.337646484E0
3.711295720E1,4.531555176E1,-1.835632324E1,-1.437377930E0
3.721366521E1,4.441528320E1,-1.817626953E1,-1.737976074E0
3.731437322E1,4.651489258E1,-1.989593506E1,1.261901855E0
3.741688176E1,4.651489258E1,-1.955566406E1,6.256103516E-2
3.751710149E1,4.531555176E1,-1.938629150E1,-8.377075195E-1
3.761732122E1,4.471588135E1,-1.783599854E1,-1.737976074E0
3.771754094E1,4.531555176E1,-1.904602051E1,-8.377075195E-1
3.781788274E1,4.621582031E1,-1.852569580E1,-1.737976074E0
3.791862127E1,4.741516113E1,-2.041625977E1,-2.380371094E-1
3.801929876E1,4.441528320E1,-1.748657227E1,-2.937316895E0
3.812003728E1,4.621582031E1,-1.989593506E1,6.256103516E-2
3.822071477E1,4.501495361E1,-1.800689697E1,-8.377075195E-1
3.832142278E1,4.561614990E1,-1.904602051E1,-8.377075195E-1
3.842213079E1,4.471588135E1,-1.869659424E1,-2.380371094E-1
3.852445623E1,4.621582031E1,-1.955566406E1,-5.371093750E-1
3.862467595E1,4.591522217E1,-1.921691895E1,6.256103516E-2
3.872492620E1,4.651489258E1,-1.904602051E1,-1.437377930E0
3.882514592E1,4.561614990E1,-1.783599854E1,6.256103516E-2
3.892567083E1,4.681549072E1,-1.904602051E1,3.631591797E-1
3.902640935E1,4.741516113E1,-1.955566406E1,-5.371093750E-1
3.912711736E1,4.771575928E1,-1.938629150E1,-8.377075195E-1
3.922782537E1,4.711608887E1,-1.852569580E1,-2.337646484E0
3.932853338E1,4.651489258E1,-1.869659424E1,-8.377075195E-1
