"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
7.352650259E1,5.506134033E1,3.944396973E0,3.894042969E0
7.362684439E1,5.536193848E1,2.905273438E0,5.094909668E0
7.372755240E1,5.506134033E1,3.594970703E0,6.294250488E0
7.382826040E1,5.566253662E1,2.565002441E0,6.294250488E0
7.392896841E1,5.566253662E1,3.074645996E0,7.794189453E0
7.402967642E1,5.476226807E1,4.295349121E0,4.493713379E0
7.413038443E1,5.476226807E1,3.425598145E0,5.995178223E0
7.423274038E1,5.506134033E1,3.254699707E0,6.294250488E0
7.433292959E1,5.596160889E1,2.734375000E0,5.995178223E0
7.443308828E1,5.476226807E1,3.425598145E0,7.794189453E0
7.453327749E1,5.416259766E1,3.594970703E0,5.694580078E0
7.463392446E1,5.596160889E1,3.775024414E0,4.794311523E0
7.473463247E1,5.416259766E1,2.905273438E0,4.493713379E0
7.483534048E1,5.566253662E1,2.215576172E0,7.495117188E0
7.493604849E1,5.596160889E1,3.254699707E0,5.694580078E0
7.503675650E1,5.476226807E1,3.254699707E0,4.493713379E0
7.513746450E1,5.476226807E1,3.425598145E0,6.594848633E0
7.523951529E1,5.566253662E1,2.734375000E0,6.594848633E0
7.533970450E1,5.416259766E1,4.985046387E0,3.894042969E0
7.543986319E1,5.506134033E1,4.115295410E0,4.194641113E0
7.554029654E1,5.506134033E1,3.254699707E0,6.294250488E0
7.564100454E1,5.446166992E1,3.425598145E0,4.794311523E0
7.574171255E1,5.506134033E1,3.254699707E0,5.694580078E0
7.584242056E1,5.506134033E1,3.254699707E0,6.893920898E0
7.594312857E1,5.536193848E1,2.905273438E0,6.893920898E0
7.604383658E1,5.476226807E1,3.425598145E0,8.995056152E0
7.614613150E1,5.386199951E1,4.985046387E0,5.094909668E0
7.624629019E1,5.446166992E1,6.715393066E0,6.294250488E0
7.634647940E1,5.356140137E1,8.964538574E0,4.794311523E0
7.644666861E1,5.326232910E1,5.854797363E0,-1.205444336E0
7.654737661E1,5.326232910E1,-2.804565430E0,-2.404785156E0
7.664808462E1,5.206146240E1,-3.845214844E0,4.194641113E0
7.674879263E1,5.206146240E1,-3.674316406E0,5.094909668E0
7.684950064E1,5.296173096E1,-1.945495605E0,7.495117188E0
7.695020864E1,5.596160889E1,-7.354736328E-1,1.019439697E1
7.705271719E1,5.476226807E1,-3.845214844E-1,5.995178223E0
7.715287588E1,5.596160889E1,-2.151489258E-1,9.893798828E0
7.725306509E1,5.656280518E1,4.635620117E0,9.294128418E0
7.735325430E1,5.746154785E1,3.775024414E0,8.995056152E0
7.745374868E1,5.626220703E1,2.565002441E0,6.893920898E0
7.755449755E1,5.566253662E1,2.734375000E0,6.594848633E0
7.765520556E1,5.506134033E1,2.734375000E0,5.393981934E0
7.775591356E1,5.506134033E1,3.254699707E0,5.694580078E0
7.785662157E1,5.566253662E1,3.254699707E0,5.694580078E0
7.795732958E1,5.506134033E1,3.074645996E0,5.393981934E0
7.805953295E1,5.536193848E1,2.905273438E0,5.094909668E0
7.815969164E1,5.506134033E1,3.425598145E0,4.794311523E0
7.825988085E1,5.476226807E1,3.074645996E0,3.594970703E0
7.836016161E1,5.506134033E1,2.044677734E0,4.794311523E0
7.846086962E1,5.536193848E1,2.565002441E0,6.893920898E0
7.856157763E1,5.446166992E1,2.215576172E0,5.094909668E0
7.866228564E1,5.476226807E1,3.074645996E0,5.995178223E0
7.876302416E1,5.476226807E1,2.565002441E0,5.094909668E0
7.886370165E1,5.416259766E1,2.734375000E0,5.995178223E0
7.896611864E1,5.536193848E1,1.864624023E0,5.694580078E0
7.906630785E1,5.476226807E1,1.524353027E0,6.294250488E0
7.916649706E1,5.446166992E1,2.384948730E0,4.194641113E0
7.926665575E1,5.476226807E1,2.044677734E0,5.393981934E0
7.936724169E1,5.446166992E1,2.734375000E0,5.995178223E0
7.946794970E1,5.446166992E1,2.215576172E0,5.694580078E0
7.956865770E1,5.476226807E1,2.215576172E0,6.294250488E0
7.966936571E1,5.506134033E1,1.864624023E0,6.294250488E0
7.977007372E1,5.566253662E1,6.546020508E-1,5.995178223E0
7.987078173E1,5.536193848E1,1.174926758E0,6.893920898E0
7.997292406E1,5.506134033E1,1.344299316E0,4.794311523E0
8.007308275E1,5.476226807E1,1.005554199E0,5.393981934E0
8.017327196E1,5.416259766E1,2.734375000E0,3.594970703E0
8.027361376E1,5.416259766E1,2.384948730E0,5.393981934E0
8.037432177E1,5.386199951E1,1.864624023E0,3.894042969E0
8.047502978E1,5.416259766E1,1.524353027E0,5.094909668E0
8.057573778E1,5.446166992E1,1.695251465E0,4.794311523E0
8.067644579E1,5.446166992E1,1.524353027E0,4.493713379E0
8.077715380E1,5.536193848E1,1.174926758E0,6.893920898E0
8.087950976E1,5.476226807E1,2.044677734E0,4.194641113E0
8.097963793E1,5.476226807E1,-3.509521484E-2,7.194519043E0
8.107982714E1,5.506134033E1,1.174926758E0,5.694580078E0
8.118007738E1,5.416259766E1,6.546020508E-1,6.594848633E0
8.128072436E1,5.416259766E1,8.255004883E-1,6.893920898E0
8.138140185E1,5.536193848E1,6.546020508E-1,6.594848633E0
8.148210985E1,5.416259766E1,6.546020508E-1,5.995178223E0
8.158284838E1,5.386199951E1,1.005554199E0,4.194641113E0
8.168352587E1,5.296173096E1,1.524353027E0,4.493713379E0
8.178426440E1,5.386199951E1,4.852294922E-1,5.694580078E0
8.188628466E1,5.326232910E1,1.344299316E0,5.393981934E0
8.198647387E1,5.326232910E1,4.852294922E-1,6.294250488E0
8.208663256E1,5.266265869E1,1.524353027E0,4.493713379E0
8.218706591E1,5.326232910E1,6.546020508E-1,4.794311523E0
8.228777392E1,5.356140137E1,1.524353027E0,6.893920898E0
8.238848192E1,5.356140137E1,2.044677734E0,5.995178223E0
8.248918993E1,5.386199951E1,2.384948730E0,4.794311523E0
8.258989794E1,5.416259766E1,1.174926758E0,4.493713379E0
8.269060595E1,5.446166992E1,8.255004883E-1,3.894042969E0
8.279287035E1,5.476226807E1,1.005554199E0,5.393981934E0
8.289305956E1,5.416259766E1,6.546020508E-1,6.594848633E0
8.299324877E1,5.446166992E1,1.174926758E0,5.694580078E0
8.309340746E1,5.386199951E1,1.344299316E0,5.393981934E0
8.319414599E1,5.536193848E1,1.695251465E0,5.995178223E0
8.329485399E1,5.506134033E1,1.174926758E0,6.893920898E0
8.339556200E1,5.476226807E1,1.864624023E0,3.294372559E0
8.349627001E1,5.476226807E1,8.255004883E-1,4.493713379E0
