"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.774853327E1,1.123641968E0,1.740722656E-1,9.308761597E0
2.784869196E1,1.195465088E0,1.213989258E-1,1.017785645E1
2.794885065E1,7.645111084E-1,1.046447754E-1,9.737319946E0
2.804903986E1,7.573242188E-1,3.129425049E-1,9.105255127E0
2.814922907E1,1.566574097E0,1.860504150E-1,9.600860596E0
2.824938776E1,9.129486084E-1,2.075958252E-1,9.888168335E0
2.834957697E1,4.005889893E-1,4.446258545E-1,9.959991455E0
2.844973566E1,7.884521484E-1,2.746276855E-1,9.031036377E0
2.854995539E1,1.032669067E0,2.267456055E-1,1.005575562E1
2.865014460E1,6.424102783E-1,3.847656250E-1,9.871398926E0
2.875027277E1,4.819946289E-1,2.698364258E-1,9.476364136E0
2.885046198E1,9.943542480E-1,3.009643555E-1,9.327911377E0
2.895062067E1,9.536590576E-1,4.039154053E-1,9.646347046E0
2.905080988E1,9.249267578E-1,2.626647949E-1,9.967163086E0
2.915096857E1,6.304321289E-1,2.578735352E-1,9.722961426E0
2.925115778E1,1.092514038E0,3.273010254E-1,9.057373047E0
2.935134699E1,1.087738037E0,1.740722656E-1,1.008688354E1
2.945150568E1,7.597198486E-1,3.464508057E-1,9.833099365E0
2.955169489E1,6.950836182E-1,2.698364258E-1,9.758880615E0
2.965185358E1,9.321136475E-1,2.913970947E-1,9.212997437E0
2.975201227E1,1.063781738E0,2.291412354E-1,9.730148315E0
2.985220148E1,7.980346680E-1,3.296966553E-1,9.957595825E0
2.995239069E1,6.567687988E-1,1.716766357E-1,9.552978516E0
3.005254938E1,1.037445068E0,3.392791748E-1,9.201019287E0
3.015273859E1,1.059005737E0,3.057556152E-1,9.785217285E0
3.025292780E1,7.980346680E-1,2.866058350E-1,9.900131226E0
3.035308649E1,6.783294678E-1,2.961730957E-1,9.782821655E0
3.045324518E1,1.051818848E0,2.458953857E-1,9.023849487E0
3.055343439E1,1.011123657E0,3.632202148E-1,1.024011230E1
