"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.655182327E1,3.540039062E-3,-4.379272461E-3,-1.292419434E-2
1.665201248E1,1.419067383E-3,-8.651733398E-3,6.240844727E-3
1.675217117E1,-7.171630859E-4,4.135131836E-3,1.049804688E-2
1.685236038E1,-1.312255859E-3,6.607055664E-3,-2.517700195E-3
1.695254959E1,4.013061523E-3,-8.316040039E-3,-6.790161133E-3
1.705270828E1,1.892089844E-3,2.136230469E-4,4.928588867E-3
1.715289749E1,-4.501342773E-3,9.796142578E-3,3.875732422E-3
1.725308670E1,-5.569458008E-3,6.607055664E-3,-2.517700195E-3
1.735324539E1,2.944946289E-3,-1.922607422E-3,-9.979248047E-3
1.745340408E1,8.239746094E-4,-7.247924805E-3,5.996704102E-3
1.755353060E1,2.944946289E-3,6.607055664E-3,4.928588867E-3
1.765371981E1,-1.312255859E-3,6.607055664E-3,-4.653930664E-3
1.775390902E1,5.081176758E-3,-1.043701172E-2,-5.722045898E-3
1.785406771E1,-2.441406250E-4,2.349853516E-3,1.739501953E-3
1.795425692E1,8.239746094E-4,6.607055664E-3,5.996704102E-3
1.805444613E1,8.239746094E-4,-2.990722656E-3,-3.585815430E-3
1.815460482E1,1.679992676E-2,-2.748107910E-2,-1.423645020E-2
1.825479403E1,8.270263672E-3,-1.683044434E-2,6.459045410E-2
1.835495272E1,-5.569458008E-3,1.193237305E-2,6.713867188E-4
1.845511141E1,-4.501342773E-3,1.512145996E-2,-4.620361328E-2
1.855530062E1,1.466369629E-2,-7.247924805E-3,-2.169799805E-2
1.865545931E1,9.338378906E-3,3.402709961E-3,1.239013672E-2
1.875564852E1,-1.312255859E-3,4.470825195E-3,1.452636719E-2
1.885580721E1,-4.501342773E-3,1.281738281E-3,-4.653930664E-3
1.895599642E1,-2.441406250E-4,-1.576232910E-2,-9.979248047E-3
1.905618563E1,4.013061523E-3,2.044677734E-2,-1.104736328E-2
1.915637484E1,-2.380371094E-3,-8.544921875E-4,1.239013672E-2
1.925653353E1,-4.501342773E-3,-8.544921875E-4,9.201049805E-3
1.935672274E1,-1.312255859E-3,-1.257324219E-2,1.345825195E-2
1.945688143E1,6.149291992E-3,6.607055664E-3,-3.585815430E-3
1.955704012E1,-6.637573242E-3,8.728027344E-3,-3.585815430E-3
1.965722933E1,-2.441406250E-4,-8.544921875E-4,-9.979248047E-3
1.975738802E1,5.081176758E-3,-1.469421387E-2,-3.585815430E-3
1.985757723E1,2.944946289E-3,1.939392090E-2,1.739501953E-3
1.995773592E1,-5.569458008E-3,1.281738281E-3,6.713867188E-4
2.005795565E1,-2.441406250E-4,1.281738281E-3,-3.585815430E-3
2.015811434E1,1.892089844E-3,-1.789855957E-2,6.713867188E-4
2.025827303E1,1.892089844E-3,1.406860352E-2,3.875732422E-3
