"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.400707059E2,4.105330596E1,2.901050612E1,1.138801473E2,0.000000000E0,0.000000000E0,1.972099876E1,0.000000000E0
1.410705381E2,4.105329845E1,2.901051565E1,1.138801417E2,4.300000072E-1,9.150000000E1,1.972099876E1,0.000000000E0
1.420709517E2,4.105331069E1,2.901051699E1,1.148801864E2,6.600000262E-1,8.219999695E1,1.972099876E1,0.000000000E0
1.430727584E2,4.105332587E1,2.901053071E1,1.158802671E2,1.269999981E0,4.859999847E1,1.972099876E1,0.000000000E0
1.440724853E2,4.105335233E1,2.901051738E1,1.158803295E2,2.470000029E0,2.220000076E1,1.820399857E1,0.000000000E0
1.450707589E2,4.105335347E1,2.901053431E1,1.138803690E2,3.279999971E0,3.759999847E1,1.820399857E1,0.000000000E0
1.460712604E2,4.105338065E1,2.901063569E1,1.138806754E2,4.690000057E0,4.300000000E1,1.820399857E1,0.000000000E0
1.470713800E2,4.105341551E1,2.901068818E1,1.128809050E2,5.650000095E0,5.000000000E1,1.820399857E1,0.000000000E0
1.480791693E2,4.105344721E1,2.901074014E1,1.108811228E2,7.050000191E0,5.570000076E1,1.820399857E1,0.000000000E0
1.490801106E2,4.105348472E1,2.901080040E1,1.088813779E2,7.809999943E0,5.779999924E1,1.820399857E1,0.000000000E0
1.500707963E2,4.105351267E1,2.901094848E1,1.098817852E2,1.039999962E1,6.730000305E1,1.820399857E1,0.000000000E0
1.510711643E2,4.105360124E1,2.901109610E1,1.118823989E2,1.202999973E1,6.070000076E1,1.972099876E1,0.000000000E0
1.520692724E2,4.105366298E1,2.901119532E1,1.118828189E2,1.131999969E1,5.640000153E1,2.123799896E1,0.000000000E0
1.530680433E2,4.105371196E1,2.901130561E1,1.118832186E2,1.097999954E1,5.659999847E1,2.275499916E1,0.000000000E0
1.540688081E2,4.105372496E1,2.901133923E1,1.118833339E2,7.840000153E0,5.509999847E1,2.427199936E1,0.000000000E0
1.550683281E2,4.105378700E1,2.901137246E1,1.118836160E2,6.989999771E0,4.170000076E1,2.730599976E1,0.000000000E0
1.560715316E2,4.105379700E1,2.901139136E1,1.118836900E2,4.690000057E0,3.729999924E1,2.882299995E1,0.000000000E0
1.570695766E2,4.105383504E1,2.901143155E1,1.118839047E2,4.679999828E0,3.640000153E1,3.185699844E1,0.000000000E0
1.580680388E2,4.105387306E1,2.901147067E1,1.118841171E2,4.750000000E0,3.670000076E1,3.640799713E1,0.000000000E0
1.590684904E2,4.105392073E1,2.901150579E1,1.118843541E2,4.820000172E0,3.500000000E1,4.095899963E1,0.000000000E0
