"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.350608013E1,7.156372070E-3,-3.234863281E-2,1.983642578E-3
3.360629986E1,-1.373291016E-3,4.861450195E-2,-4.409790039E-3
3.370651958E1,7.629394531E-4,-1.210021973E-2,-5.477905273E-3
3.380670879E1,5.020141602E-3,-3.128051758E-2,1.983642578E-3
3.390695904E1,-5.630493164E-3,2.517700195E-2,1.983642578E-3
3.400717876E1,2.313232422E-2,-2.809143066E-2,3.051757812E-3
3.410739849E1,7.156372070E-3,-2.702331543E-2,-1.220703125E-3
3.420758770E1,6.088256836E-3,1.133728027E-2,1.156616211E-2
3.430780742E1,3.591918945E-2,-3.981018066E-2,-6.546020508E-3
3.440802715E1,1.034545898E-2,2.838134766E-2,-3.341674805E-3
3.450824688E1,8.209228516E-3,3.875732422E-3,8.377075195E-3
3.460846660E1,3.378295898E-2,6.713867188E-4,3.051757812E-3
3.470868633E1,1.992797852E-2,1.666259766E-2,9.445190430E-3
3.480890606E1,3.378295898E-2,8.132934570E-3,-3.341674805E-3
3.490912578E1,2.845764160E-2,-8.911132812E-3,6.240844727E-3
3.500934551E1,5.828857422E-2,-3.814697266E-4,9.445190430E-3
3.510956524E1,8.384704590E-2,-1.210021973E-2,-8.666992188E-3
3.520978496E1,7.745361328E-2,-1.104736328E-2,-4.409790039E-3
3.531000469E1,8.491516113E-2,6.713867188E-4,-1.525878906E-4
3.541022442E1,1.115417480E-1,-3.021240234E-2,-9.735107422E-3
3.551044414E1,1.072845459E-1,4.328918457E-2,3.051757812E-3
3.561066387E1,1.083526611E-1,3.796386719E-2,-2.273559570E-3
3.571088360E1,7.212829590E-2,4.008483887E-2,1.689147949E-2
3.581110332E1,6.040954590E-2,-3.585815430E-3,2.116394043E-2
3.591132305E1,8.065795898E-2,-4.193115234E-2,1.902770996E-2
3.601154277E1,1.104736328E-1,-6.774902344E-3,1.583862305E-2
3.611176250E1,1.520233154E-1,-2.488708496E-2,-3.341674805E-3
3.621201275E1,1.552276611E-1,4.968261719E-2,1.795959473E-2
3.631220196E1,1.594848633E-1,1.133728027E-2,2.754211426E-2
3.641242168E1,1.381835938E-1,3.475952148E-2,4.032897949E-2
3.651264141E1,1.211395264E-1,2.943420410E-2,3.713989258E-2
3.661286113E1,1.317901611E-1,-1.956176758E-2,3.074645996E-2
3.671308086E1,1.360473633E-1,2.731323242E-2,4.246520996E-2
3.681330059E1,1.424407959E-1,2.838134766E-2,4.992675781E-2
3.691352031E1,1.456298828E-1,3.582763672E-2,4.672241211E-2
3.701374004E1,1.275177002E-1,5.180358887E-2,5.525207520E-2
3.711395977E1,1.466979980E-1,4.328918457E-2,4.565429688E-2
3.721421001E1,1.349792480E-1,4.754638672E-2,5.525207520E-2
