"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.512168071E1,-8.927215576E0,3.999328613E-2,-1.386138916E0
3.522193096E1,-8.963134766E0,1.405639648E-1,-1.896102905E0
3.532215068E1,-8.872146606E0,1.740722656E-1,-1.747665405E0
3.542237041E1,-9.125930786E0,4.478454590E-2,-1.489089966E0
3.552259014E1,-8.809906006E0,-2.703857422E-2,-8.905334473E-1
3.562280987E1,-9.207336426E0,-4.172973633E-1,-1.041366577E0
3.572302959E1,-9.085235596E0,-2.904052734E-1,-1.764419556E0
3.582324932E1,-9.214523315E0,-2.880096436E-1,-2.638305664E0
3.592346904E1,-9.154663086E0,-4.618835449E-2,-2.595199585E0
3.602368877E1,-8.939178467E0,8.070373535E-2,-1.845825195E0
3.612390850E1,-9.015792847E0,7.830810547E-2,-1.465148926E0
3.622412822E1,-8.668640137E0,1.405639648E-1,-9.336242676E-1
3.632434795E1,-8.905670166E0,1.645050049E-1,-1.031799316E0
3.642456768E1,-9.279159546E0,-1.266479492E-2,-1.340637207E0
3.652478740E1,-9.305496216E0,-6.294250488E-2,-2.046936035E0
3.662497661E1,-9.315078735E0,-6.773376465E-2,-1.723709106E0
3.672522686E1,-9.355773926E0,-2.353363037E-1,-1.795547485E0
3.682544658E1,-9.406051636E0,-1.635131836E-1,-1.546539307E0
3.692566631E1,-9.192977905E0,-1.028442383E-2,-2.008621216E0
3.702588604E1,-8.970306396E0,-5.097961426E-2,-2.157073975E0
3.712610576E1,-9.271972656E0,-7.888793945E-3,-2.123550415E0
3.722632549E1,-9.166641235E0,2.084350586E-2,-1.869766235E0
3.732654522E1,-9.415634155E0,-2.943420410E-2,-1.982284546E0
3.742676494E1,-9.899261475E0,1.605224609E-2,-2.209732056E0
3.752695415E1,-8.829055786E0,1.261901855E-1,-1.208969116E0
3.762720440E1,-8.560897827E0,9.745788574E-2,-7.444915771E-1
3.772742412E1,-8.934402466E0,3.967437744E-1,-1.323883057E0
3.782764385E1,-8.302322388E0,4.015197754E-1,-1.053344727E0
3.792789409E1,-9.875320435E0,1.621093750E-1,-2.805892944E0
3.802811382E1,-8.687789917E0,4.494018555E-1,-1.441207886E0
3.812833355E1,-9.530548096E0,4.972991943E-1,-3.153060913E0
3.822855327E1,-9.377319336E0,1.367187500E-2,-2.434799194E0
3.832874248E1,-8.776382446E0,1.237945557E-1,-1.113189697E0
3.842896221E1,-9.341415405E0,3.521728516E-2,-1.067703247E0
3.852918194E1,-8.939178467E0,5.236358643E-1,-2.468307495E0
3.862940166E1,-9.283950806E0,2.052001953E-1,-2.046936035E0
3.872962139E1,-9.099594116E0,1.549224854E-1,-2.621536255E0
3.882984112E1,-8.563293457E0,4.063110352E-1,-3.505004883E0
3.893006084E1,-8.680618286E0,6.984100342E-1,-2.781951904E0
3.903028057E1,-9.762786865E0,1.716766357E-1,-2.841812134E0
3.913050029E1,-9.580825806E0,1.309814453E-1,-1.101226807E0
3.923072002E1,-8.259231567E0,5.547485352E-1,-2.619140625E0
3.933093975E1,-8.053329468E0,5.068664551E-1,-3.576828003E0
3.943115947E1,-7.998260498E0,5.260162354E-1,-1.740478516E0
3.953137920E1,-9.645477295E0,8.309936523E-2,-2.437194824E0
3.963159893E1,-9.757995605E0,2.243499756E-1,-2.049331665E0
3.973181865E1,-9.492248535E0,4.957580566E-2,-1.438812256E0
3.983203838E1,-8.726104736E0,2.818145752E-1,-2.525772095E0
3.993225811E1,-8.472320557E0,3.249053955E-1,-2.724487305E0
4.003247783E1,-8.972702026E0,2.578735352E-1,-3.143478394E0
4.013269756E1,-9.317474365E0,1.142272949E-1,-1.510635376E0
4.023291729E1,-8.058120728E0,2.563476562E-2,-3.294311523E0
