"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.278746704E1,-1.023056030E2,-1.293945312E1,-8.058013916E1
9.288817505E1,-1.020050049E2,-1.466827393E1,-7.998046875E1
9.298888306E1,-1.035049438E2,-1.518859863E1,-7.908020020E1
9.308959107E1,-1.053054810E2,-1.483917236E1,-7.967987061E1
9.319029908E1,-1.062042236E2,-1.500854492E1,-7.638092041E1
9.329283814E1,-1.065048218E2,-1.587829590E1,-7.667999268E1
9.339305787E1,-1.071044922E2,-1.500854492E1,-7.698059082E1
9.349327759E1,-1.077041626E2,-1.431884766E1,-7.638092041E1
9.359349732E1,-1.092056274E2,-1.552886963E1,-7.908020020E1
9.369383912E1,-1.083053589E2,-1.812896729E1,-7.458038330E1
9.379454712E1,-1.104049683E2,-1.829833984E1,-7.488098145E1
9.389525513E1,-1.086044312E2,-1.708831787E1,-7.758026123E1
9.399596314E1,-1.095046997E2,-1.812896729E1,-7.518005371E1
9.409667115E1,-1.098052979E2,-1.743927002E1,-7.577972412E1
9.419737916E1,-1.086044312E2,-1.674804688E1,-7.758026123E1
9.429808716E1,-1.092056274E2,-1.708831787E1,-7.518005371E1
9.440029053E1,-1.098052979E2,-1.708831787E1,-7.577972412E1
9.450051026E1,-1.074050903E2,-1.812896729E1,-7.577972412E1
9.460072998E1,-1.098052979E2,-1.604919434E1,-7.817993164E1
9.470091919E1,-1.098052979E2,-1.656951904E1,-7.667999268E1
9.480162720E1,-1.083053589E2,-1.656951904E1,-7.908020020E1
9.490233521E1,-1.095046997E2,-1.570892334E1,-7.758026123E1
9.500304322E1,-1.086044312E2,-1.708831787E1,-7.817993164E1
9.510375122E1,-1.083053589E2,-1.604919434E1,-7.698059082E1
9.520445923E1,-1.098052979E2,-1.726837158E1,-7.848052979E1
9.530516724E1,-1.095046997E2,-1.691894531E1,-7.608032227E1
9.540752320E1,-1.101043701E2,-1.674804688E1,-7.817993164E1
9.550774292E1,-1.104049683E2,-1.483917236E1,-7.908020020E1
9.560799317E1,-1.116043091E2,-1.587829590E1,-7.848052979E1
9.570821290E1,-1.122055054E2,-1.500854492E1,-7.698059082E1
9.580870728E1,-1.104049683E2,-1.726837158E1,-7.848052979E1
9.590941529E1,-1.110046387E2,-1.587829590E1,-7.728118896E1
9.601012330E1,-1.107055664E2,-1.639862061E1,-7.758026123E1
9.611083130E1,-1.110046387E2,-1.812896729E1,-7.998046875E1
9.621153931E1,-1.113052368E2,-1.812896729E1,-7.878112793E1
9.631224732E1,-1.107055664E2,-2.003936768E1,-7.608032227E1
9.641475586E1,-1.122055054E2,-1.968841553E1,-7.908020020E1
9.651500611E1,-1.131042480E2,-1.864929199E1,-7.788085938E1
9.661522583E1,-1.122055054E2,-1.899871826E1,-7.788085938E1
9.671544556E1,-1.116043091E2,-1.829833984E1,-7.967987061E1
9.681578736E1,-1.125045776E2,-2.020874023E1,-7.998046875E1
9.691649537E1,-1.119049072E2,-2.176818848E1,-7.967987061E1
9.701720337E1,-1.125045776E2,-2.107849121E1,-7.728118896E1
9.711791138E1,-1.140045166E2,-2.003936768E1,-7.728118896E1
9.721861939E1,-1.146041870E2,-1.847839355E1,-7.758026123E1
9.731932740E1,-1.161056519E2,-1.708831787E1,-7.817993164E1
9.742003541E1,-1.134048462E2,-1.726837158E1,-7.788085938E1
9.752223877E1,-1.140045166E2,-1.656951904E1,-7.848052979E1
9.762245850E1,-1.155044556E2,-1.552886963E1,-7.848052979E1
9.772267823E1,-1.149047852E2,-1.535949707E1,-7.758026123E1
9.782292847E1,-1.140045166E2,-1.570892334E1,-7.698059082E1
9.792357544E1,-1.137054443E2,-1.483917236E1,-7.788085938E1
9.802428345E1,-1.128051758E2,-1.431884766E1,-7.638092041E1
9.812499146E1,-1.131042480E2,-1.293945312E1,-7.518005371E1
9.822569947E1,-1.125045776E2,-1.362915039E1,-7.458038330E1
9.832640748E1,-1.122055054E2,-1.414947510E1,-7.488098145E1
9.842714600E1,-1.128051758E2,-1.327819824E1,-7.638092041E1
9.852947144E1,-1.113052368E2,-1.466827393E1,-7.398071289E1
9.862969117E1,-1.125045776E2,-1.327819824E1,-7.577972412E1
9.872994141E1,-1.131042480E2,-1.362915039E1,-7.398071289E1
9.883016114E1,-1.122055054E2,-1.137847900E1,-7.608032227E1
9.893065552E1,-1.107055664E2,-1.258850098E1,-7.458038330E1
9.903136353E1,-1.125045776E2,-1.223907471E1,-7.458038330E1
9.913207154E1,-1.149047852E2,-1.448822021E1,-7.427978516E1
9.923277954E1,-1.152053833E2,-1.518859863E1,-7.008056641E1
9.933348755E1,-1.146041870E2,-1.466827393E1,-7.218017578E1
9.943419556E1,-1.152053833E2,-1.466827393E1,-7.098083496E1
9.953673462E1,-1.146041870E2,-1.396942139E1,-7.218017578E1
9.963695435E1,-1.149047852E2,-1.327819824E1,-7.158050537E1
9.973717408E1,-1.155044556E2,-9.638977051E0,-6.948089600E1
9.983739380E1,-1.176055908E2,-1.119842529E1,-6.858062744E1
9.993773560E1,-1.194046021E2,-1.223907471E1,-6.918029785E1
1.000384436E2,-1.194046021E2,-1.241912842E1,-6.468048096E1
1.001391516E2,-1.185043335E2,-1.379852295E1,-6.408081055E1
1.002398596E2,-1.185043335E2,-1.293945312E1,-6.198120117E1
1.003405676E2,-1.185043335E2,-1.362915039E1,-6.258087158E1
1.004412664E2,-1.173049927E2,-1.448822021E1,-6.108093262E1
1.005420049E2,-1.179046631E2,-1.414947510E1,-6.348114014E1
1.006442083E2,-1.164047241E2,-1.518859863E1,-6.287994385E1
1.007443975E2,-1.164047241E2,-1.622924805E1,-5.988006592E1
1.008446477E2,-1.161056519E2,-1.587829590E1,-6.108093262E1
1.009448675E2,-1.155044556E2,-1.743927002E1,-5.897979736E1
1.010455144E2,-1.161056519E2,-1.743927002E1,-5.778045654E1
1.011462224E2,-1.152053833E2,-1.778869629E1,-5.718078613E1
1.012469305E2,-1.146041870E2,-1.726837158E1,-5.868072510E1
1.013476385E2,-1.140045166E2,-1.812896729E1,-5.658111572E1
1.014483465E2,-1.140045166E2,-1.864929199E1,-5.868072510E1
1.015490545E2,-1.131042480E2,-1.916809082E1,-5.597991943E1
1.016514410E2,-1.128051758E2,-1.951904297E1,-5.897979736E1
1.017516607E2,-1.119049072E2,-2.072906494E1,-5.508117676E1
1.018518804E2,-1.119049072E2,-2.055816650E1,-5.658111572E1
1.019521001E2,-1.122055054E2,-1.968841553E1,-5.568084717E1
1.020525945E2,-1.113052368E2,-2.176818848E1,-5.628051758E1
1.021533025E2,-1.116043091E2,-2.037811279E1,-5.568084717E1
1.022540105E2,-1.116043091E2,-2.124938965E1,-5.597991943E1
